model_uncertainty,measurement_uncertainty,error_x,error_y
1e-06,0.01,0.5778735,0.5734955
1e-06,0.1,0.47103393,0.45274597
1e-06,1.0,0.5449524,0.5223016
1e-06,10.0,1.3318421,1.2948376
1e-06,100.0,5.177129,5.0397005
1e-05,0.01,0.37504637,0.41400024
1e-05,0.1,0.74704224,0.7538135
1e-05,1.0,0.50218385,0.50442564
1e-05,10.0,1.619679,1.5626264
1e-05,100.0,4.5756993,4.455379
0.0001,0.01,0.32271728,0.3542035
0.0001,0.1,0.3299231,0.33704406
0.0001,1.0,1.0318787,1.0228289
0.0001,10.0,1.4911609,1.4274542
0.0001,100.0,3.651548,3.6149433
0.001,0.01,0.25526732,0.27903807
0.001,0.1,0.3012732,0.32223633
0.001,1.0,0.81441164,0.8123566
0.001,10.0,1.179021,1.180738
0.001,100.0,3.9132128,3.8218641
0.01,0.01,0.1349121,0.14390442
0.01,0.1,0.24781616,0.25810242
0.01,1.0,0.39179322,0.4091394
0.01,10.0,1.0287671,1.0195276
0.01,100.0,3.5784192,3.530495
