model_uncertainty,jerk_model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,1e-09,30.0,28.59558,32.317135,0.9993174061433447
4.999999987376214e-07,9.999999717180685e-10,15.0,45.7815,36.057327,0.9993510707332901
4.999999987376214e-07,9.999999717180685e-10,30.0,59.57138,53.671387,0.9993610223642172
4.999999987376214e-07,9.999999717180685e-10,45.0,54.446705,44.070244,0.9867021276595744
9.999999974752427e-07,9.999999717180685e-10,15.0,81.858894,75.37052,0.9993548387096775
9.999999974752427e-07,9.999999717180685e-10,30.0,56.967316,46.31087,0.9993446920052425
9.999999974752427e-07,9.999999717180685e-10,45.0,71.882515,66.416214,0.9993238674780257
1.500000053056283e-06,9.999999717180685e-10,15.0,89.74751,72.70675,0.9693486590038314
1.500000053056283e-06,9.999999717180685e-10,30.0,61.132748,56.93831,0.9923371647509579
1.500000053056283e-06,9.999999717180685e-10,45.0,50.495888,44.343864,0.9936061381074168
4.999999987376214e-07,9.999999717180685e-10,15.0,55.061436,50.409653,0.998719590268886
4.999999987376214e-07,9.999999717180685e-10,30.0,63.115974,52.628326,0.9993386243386243
4.999999987376214e-07,9.999999717180685e-10,45.0,24.515688,22.559738,0.9979094076655052
9.999999974752427e-07,9.999999717180685e-10,15.0,55.460907,52.783245,0.9955300127713921
9.999999974752427e-07,9.999999717180685e-10,30.0,62.56105,61.887913,0.9942965779467681
9.999999974752427e-07,9.999999717180685e-10,45.0,50.849667,47.7273,0.990979381443299
1.500000053056283e-06,9.999999717180685e-10,15.0,96.80206,86.75256,0.9703225806451613
1.500000053056283e-06,9.999999717180685e-10,30.0,62.27105,53.861877,0.992948717948718
1.500000053056283e-06,9.999999717180685e-10,45.0,60.109062,54.24347,0.9992732558139535
